node1,node2,distance,distance_to_depot,total_demand,is_customer,total_service_time,total_ready_time,total_due_time,rain,traffic,cost
3,23,71.59,42.94,9.85,1,13.63,72.71,119.44,0.07,0.81,685.48
3,24,99.05,49.48,13.17,1,14.2,47.74,148.69,0.44,0.14,747.66
3,25,65.0,40.08,14.23,1,7.25,42.3,148.69,0.7,0.17,654.37
3,26,65.51,18.97,8.63,1,7.05,42.3,125.18,0.87,0.37,570.76
3,27,85.01,49.27,13.68,1,8.97,42.3,148.69,0.65,0.47,707.77
3,28,67.93,46.3,13.32,1,14.72,54.04,106.17,0.52,0.63,712.34
3,29,95.23,52.05,11.97,1,7.24,61.75,117.91,0.82,0.11,665.54
3,30,35.06,22.3,11.65,1,9.54,43.06,148.69,0.56,0.17,597.51
3,31,92.41,44.38,10.3,1,13.87,42.3,148.69,0.42,0.83,731.98
3,32,9.69,40.95,11.98,1,8.45,42.3,148.69,0.3,0.79,600.43
3,33,27.91,30.69,16.39,1,11.11,94.43,142.18,0.7,0.26,718.21
3,34,43.9,6.3,13.52,1,11.66,42.3,148.69,0.32,0.21,619.49
3,35,80.23,45.51,9.87,1,13.42,42.3,118.14,0.62,0.67,683.58
3,36,53.52,48.14,16.46,1,8.61,84.22,139.67,0.72,0.96,760.25
3,37,38.18,40.87,13.66,1,13.14,86.48,135.32,0.72,0.7,739.85
3,38,91.21,46.19,11.64,1,7.63,80.75,115.27,0.8,0.07,669.62
3,39,57.98,28.3,8.94,1,11.86,42.3,121.99,0.82,0.08,603.57
3,40,68.24,30.66,9.96,1,6.99,55.7,136.53,0.17,0.14,576.13
3,41,53.86,25.19,12.33,1,15.42,86.71,128.37,0.49,0.49,720.63
3,42,56.51,48.27,14.59,1,15.13,42.3,148.69,0.6,0.96,770.97
3,43,61.83,26.74,16.43,1,13.71,61.26,148.69,0.76,0.4,757.92
3,44,41.07,43.21,13.78,1,14.02,56.79,148.69,0.26,0.94,727.76
3,45,84.06,36.54,9.99,1,7.84,50.61,140.75,0.98,0.69,673.76
3,46,91.97,43.65,8.78,1,8.2,50.93,148.69,0.65,0.13,644.04
3,47,64.57,18.34,9.63,1,7.11,49.8,148.69,0.72,0.41,605.3
3,48,103.55,55.93,13.27,1,11.16,57.28,146.51,0.93,0.04,756.07
3,49,66.0,27.98,14.32,1,10.55,50.61,148.69,0.32,0.89,702.48
4,0,39.53,0.0,5.59,0,4.37,49.13,134.3,0.42,0.6,373.56
4,1,78.02,64.33,9.83,1,10.43,49.13,134.3,0.2,0.33,654.88
4,2,26.86,15.83,8.33,1,7.05,99.29,134.3,0.28,0.87,587.58
4,3,86.0,50.0,12.16,1,10.27,49.13,134.3,0.24,0.63,687.23
4,5,74.51,35.01,8.24,1,10.67,49.13,134.3,0.82,0.29,637.55
4,6,44.22,26.89,12.24,1,8.65,49.13,134.3,0.17,0.64,603.94
4,7,74.94,44.42,8.17,1,6.0,68.36,134.3,0.66,0.47,620.22
4,8,22.01,46.24,6.73,1,8.12,49.13,134.3,0.86,0.27,556.68
4,9,60.68,34.38,8.46,1,11.69,49.13,134.3,0.85,0.6,652.49
4,10,75.75,55.19,14.22,1,9.25,49.13,134.3,0.8,0.12,695.07
4,11,16.36,44.09,15.23,1,12.96,62.85,134.3,0.39,0.7,694.0
4,12,74.96,40.62,7.41,1,10.35,49.13,130.02,0.46,0.32,611.33
4,13,45.15,30.67,10.74,1,14.31,62.31,134.3,0.5,0.7,682.93
4,14,20.75,30.41,10.69,1,11.56,58.05,100.29,0.82,0.41,593.5
4,15,39.38,28.57,13.3,1,11.03,49.13,134.3,0.63,0.51,651.68
4,16,62.24,25.26,14.42,1,13.84,81.68,101.49,0.71,0.04,690.77
4,17,66.27,34.33,11.1,1,12.37,49.13,134.3,0.59,0.46,671.23
4,18,56.58,50.7,8.6,1,10.25,49.13,134.3,0.52,0.99,654.71
4,19,41.3,39.69,15.16,1,12.38,76.57,134.3,0.41,0.32,703.76
4,20,61.4,34.5,15.55,1,12.24,49.13,134.3,0.13,0.57,692.23
4,21,66.92,31.96,9.18,1,7.17,70.35,134.3,0.57,0.01,596.03
4,22,69.3,44.21,6.83,1,10.71,97.15,134.3,0.88,0.29,678.86
4,23,33.0,42.94,8.87,1,12.1,72.71,119.44,0.35,0.04,597.29
4,24,34.12,49.48,12.19,1,12.67,49.13,134.3,0.16,0.53,650.13
4,25,69.25,40.08,13.25,1,5.72,49.13,134.3,0.93,0.09,633.46
4,26,20.95,18.97,7.65,1,5.52,49.13,125.18,0.5,0.68,504.93
4,27,24.57,49.27,12.7,1,7.44,49.13,134.3,0.3,0.44,595.67
4,28,41.9,46.3,12.34,1,13.19,54.04,106.17,0.8,0.45,666.21
4,29,14.63,52.05,10.99,1,5.71,61.75,117.91,0.58,0.01,542.84
4,30,61.78,22.3,10.67,1,8.01,49.13,134.3,0.46,0.91,622.81
4,31,8.21,44.38,9.32,1,12.34,49.13,134.3,0.09,0.29,571.62
4,32,76.34,40.95,11.0,1,6.92,49.13,134.3,0.84,0.24,633.92
4,33,60.25,30.69,15.41,1,9.58,94.43,134.3,0.74,0.15,714.07
4,34,45.52,6.3,12.54,1,10.13,49.13,134.3,0.98,0.02,611.95
4,35,64.48,45.51,8.89,1,11.89,49.13,118.14,0.92,0.24,643.06
4,36,83.99,48.14,15.48,1,7.08,84.22,134.3,0.9,0.85,763.75
4,37,61.15,40.87,12.68,1,11.61,86.48,134.3,0.53,0.15,699.7
4,38,49.26,46.19,10.66,1,6.1,80.75,115.27,0.04,0.69,595.57
4,39,33.46,28.3,7.96,1,10.33,49.13,121.99,0.38,0.8,574.78
4,40,22.24,30.66,8.98,1,5.46,55.7,134.3,0.97,0.5,560.8
4,41,58.49,25.19,11.35,1,13.89,86.71,128.37,0.96,0.39,718.66
4,42,55.24,48.27,13.61,1,13.6,49.13,134.3,0.61,0.99,739.04
4,43,54.6,26.74,15.45,1,12.18,61.26,134.3,0.57,0.84,723.7
4,44,81.6,43.21,12.8,1,12.49,56.79,134.3,0.75,0.84,748.3
4,45,4.31,36.54,9.01,1,6.31,50.61,134.3,0.08,0.95,530.46
4,46,8.8,43.65,7.8,1,6.67,50.93,134.3,0.85,0.84,566.88
4,47,21.8,18.34,8.65,1,5.58,49.8,134.3,0.54,0.06,496.54
4,48,17.71,55.93,12.29,1,9.63,57.28,134.3,0.58,0.99,662.92
4,49,52.26,27.98,13.34,1,9.02,50.61,134.3,0.44,0.55,638.25
5,0,35.01,0.0,2.65,0,6.3,16.77,136.79,0.01,0.92,324.57
5,1,68.84,64.33,6.89,1,12.36,18.77,136.79,0.21,0.36,609.73
5,2,49.07,15.83,5.39,1,8.98,99.29,136.79,0.04,0.09,551.18
5,3,30.02,50.0,9.22,1,12.2,42.3,136.79,0.54,0.74,637.31
5,4,74.51,39.53,8.24,1,10.67,49.13,134.3,0.98,0.61,666.07
5,6,48.58,26.89,9.3,1,10.58,16.92,136.79,0.85,0.25,582.98
5,7,34.66,44.42,5.23,1,7.93,68.36,136.79,0.97,0.85,606.83
5,8,78.16,46.24,3.79,1,10.05,27.01,136.79,0.21,0.91,582.6
5,9,41.52,34.38,5.52,1,13.62,25.59,136.79,0.59,0.37,577.68
5,10,59.24,55.19,11.28,1,11.18,23.07,136.79,0.51,0.56,652.39
5,11,78.14,44.09,12.29,1,14.89,62.85,136.79,0.9,0.2,748.67
5,12,25.08,40.62,4.47,1,12.28,46.41,130.02,0.12,0.85,558.13
5,13,52.07,30.67,7.8,1,16.24,62.31,136.79,0.05,0.41,645.24
5,14,62.43,30.41,7.75,1,13.49,58.05,100.29,0.43,0.18,594.08
5,15,51.53,28.57,10.36,1,12.96,16.77,136.79,0.78,0.78,644.86
5,16,21.16,25.26,11.48,1,15.77,81.68,101.49,0.85,0.91,690.09
5,17,32.67,34.33,8.16,1,14.3,42.75,136.79,0.1,0.93,622.64
5,18,66.33,50.7,5.66,1,12.18,16.77,136.79,0.51,0.94,621.49
5,19,64.99,39.69,12.22,1,14.31,76.57,136.79,0.55,0.89,755.34
5,20,37.08,34.5,12.61,1,14.17,25.09,136.79,0.89,0.89,690.26
5,21,25.83,31.96,6.24,1,9.1,70.35,136.79,0.54,0.31,560.83
5,22,47.2,44.21,3.89,1,12.64,97.15,136.79,0.77,0.44,651.15
5,23,72.51,42.94,5.93,1,14.03,72.71,119.44,0.36,0.75,662.7
5,24,77.71,49.48,9.25,1,14.6,47.74,136.79,0.59,0.32,695.72
5,25,35.23,40.08,10.31,1,7.65,16.77,136.79,0.89,0.77,591.47
5,26,53.94,18.97,4.71,1,7.45,16.77,125.18,0.76,0.6,504.46
5,27,82.18,49.27,9.76,1,9.37,16.77,136.79,0.67,0.09,614.31
5,28,72.58,46.3,9.4,1,15.12,54.04,106.17,0.58,0.15,660.79
5,29,86.95,52.05,8.05,1,7.64,61.75,117.91,0.56,0.26,616.56
5,30,12.73,22.3,7.73,1,9.94,43.06,136.79,0.08,0.21,506.08
5,31,78.91,44.38,6.38,1,14.27,16.77,136.79,0.48,1.0,657.35
5,32,26.94,40.95,8.06,1,8.85,16.77,136.79,0.21,0.69,535.55
5,33,35.98,30.69,12.47,1,11.51,94.43,136.79,0.42,0.81,699.19
5,34,29.32,6.3,9.6,1,12.06,30.43,136.79,0.07,0.29,537.44
5,35,51.31,45.51,5.95,1,13.82,16.77,118.14,0.88,0.37,591.93
5,36,24.89,48.14,12.54,1,9.01,84.22,136.79,0.19,0.49,643.54
5,37,51.27,40.87,9.74,1,13.54,86.48,135.32,0.13,0.23,664.74
5,38,65.49,46.19,7.72,1,8.03,80.75,115.27,0.13,0.4,591.7
5,39,56.85,28.3,5.02,1,12.26,39.08,121.99,0.83,0.11,566.02
5,40,63.38,30.66,6.04,1,7.39,55.7,136.53,0.53,0.41,567.57
5,41,26.28,25.19,8.41,1,15.82,86.71,128.37,0.86,0.84,693.85
5,42,67.16,48.27,10.67,1,15.53,17.64,136.79,0.01,0.7,667.36
5,43,34.74,26.74,12.51,1,14.11,61.26,136.79,0.64,0.87,701.23
5,44,13.29,43.21,9.86,1,14.42,56.79,136.79,0.16,0.58,629.88
5,45,71.36,36.54,6.07,1,8.24,50.61,136.79,0.52,0.52,590.4
5,46,78.05,43.65,4.86,1,8.6,50.93,136.79,0.86,0.05,589.52
5,47,53.25,18.34,5.71,1,7.51,49.8,136.79,0.48,0.28,528.38
5,48,90.48,55.93,9.35,1,11.56,57.28,136.79,0.41,0.37,688.58
5,49,39.32,27.98,10.4,1,10.95,50.61,136.79,0.71,1.0,653.7
6,0,26.89,0.0,6.65,0,4.28,16.92,145.9,0.7,0.85,376.51
6,1,91.17,64.33,10.89,1,10.34,18.77,145.9,0.9,0.54,704.47
6,2,35.63,15.83,9.39,1,6.96,99.29,142.14,0.05,0.29,573.39
6,3,46.33,50.0,13.22,1,10.18,42.3,145.9,0.8,0.71,694.03
6,4,44.22,39.53,12.24,1,8.65,49.13,134.3,0.22,0.23,598.58
6,5,48.58,35.01,9.3,1,10.58,16.92,136.79,0.71,0.69,606.1
6,7,69.41,44.42,9.23,1,5.91,68.36,145.9,0.32,0.95,642.99
6,8,60.73,46.24,7.79,1,8.03,27.01,145.9,0.03,0.78,578.58
6,9,17.02,34.38,9.52,1,11.6,25.59,145.9,0.94,0.94,628.09
6,10,32.5,55.19,15.28,1,9.16,23.07,145.9,0.5,0.04,628.06
6,11,38.19,44.09,16.29,1,12.87,62.85,144.02,0.98,0.21,740.25
6,12,63.69,40.62,8.47,1,10.26,46.41,130.02,0.62,0.47,622.54
6,13,3.92,30.67,11.8,1,14.22,62.31,145.9,0.88,0.55,674.5
6,14,47.61,30.41,11.75,1,11.47,58.05,100.29,0.71,0.1,609.06
6,15,53.52,28.57,14.36,1,10.94,16.92,145.9,0.47,0.57,649.91
6,16,28.36,25.26,15.48,1,13.75,81.68,101.49,0.63,0.04,662.59
6,17,25.06,34.33,12.16,1,12.28,42.75,145.9,0.63,0.76,661.94
6,18,76.25,50.7,9.66,1,10.16,16.92,145.9,0.9,0.34,649.97
6,19,16.44,39.69,16.22,1,12.29,76.57,145.9,0.83,0.1,710.2
6,20,61.01,34.5,16.61,1,12.15,25.09,145.9,0.05,0.68,690.6
6,21,28.66,31.96,10.24,1,7.08,70.35,145.9,0.46,0.0,573.07
6,22,25.08,44.21,7.89,1,10.62,97.15,145.9,0.29,0.22,622.94
6,23,25.59,42.94,9.93,1,12.01,72.71,119.44,0.34,0.87,640.58
6,24,68.36,49.48,13.25,1,12.58,47.74,145.9,0.57,0.18,707.28
6,25,65.8,40.08,14.31,1,5.63,16.92,145.9,0.33,0.92,630.6
6,26,27.9,18.97,8.71,1,5.43,16.92,125.18,0.91,0.57,504.37
6,27,38.71,49.27,13.76,1,7.35,16.92,145.9,0.73,0.36,616.4
6,28,24.06,46.3,13.4,1,13.1,54.04,106.17,0.41,0.37,634.57
6,29,50.43,52.05,12.05,1,5.62,61.75,117.91,0.95,0.07,609.84
6,30,38.84,22.3,11.73,1,7.92,43.06,145.9,0.35,0.57,592.6
6,31,51.94,44.38,10.38,1,12.25,16.92,145.9,0.22,0.06,599.44
6,32,36.97,40.95,12.06,1,6.83,16.92,145.9,0.83,0.94,618.14
6,33,18.42,30.69,16.47,1,9.49,94.43,142.18,0.79,0.03,686.32
6,34,26.5,6.3,13.6,1,10.04,30.43,145.9,0.81,0.25,598.53
6,35,72.4,45.51,9.95,1,11.8,16.92,118.14,0.02,0.11,576.97
6,36,69.2,48.14,16.54,1,6.99,84.22,139.67,0.03,0.74,715.03
